seed,budget,R,R_lo,R_hi,fpr_S,fpr_L,pi_S,pi_L
2,0.01,0.8068056276420088,0.7188776786991359,0.9037421497011691,2.93236737187108,5.060915307732772,0.0015771577715186947,0.0021961133412835717
2,0.05,2.4470920457439873,2.1934483004010334,2.7201210453800106,19.31309893661042,10.989584429247765,0.0015771577715186947,0.0021961133412835717
2,0.1,2.4470920457439873,2.1934483004010334,2.7201210453800106,19.31309893661042,10.989584429247765,0.0015771577715186947,0.0021961133412835717
2,0.2,1.7478336348093104,1.5627868576636725,1.941661966319145,26.694428206425002,21.266701735928457,0.0015771577715186947,0.0021961133412835717
3,0.01,0.8138882657430387,0.7321863131326419,0.9285060852663822,2.319563082723311,3.968537869446467,0.0015771629429007993,0.0021961686724727265
3,0.05,2.5288936911958455,2.2837693016490466,2.878358918141794,18.891811741987606,10.402366814101565,0.0015771629429007993,0.0021961686724727265
3,0.1,2.5288936911958455,2.2837693016490466,2.878358918141794,18.891811741987606,10.402366814101565,0.0015771629429007993,0.0021961686724727265
3,0.2,1.862176164063684,1.6772434941346253,2.106721761024866,25.85312827384178,19.33220828300767,0.0015771629429007993,0.0021961686724727265
4,0.01,0.8538011113102939,0.755194709490103,0.9592905744799003,2.139859313116983,3.489849851871802,0.0015771164016826946,0.00219604879175327
4,0.05,1.5937254438528237,1.4151014121232515,1.780431896267264,9.105567706383454,7.95557837328306,0.0015771164016826946,0.00219604879175327
4,0.1,2.4103556654421263,2.1357908035916426,2.700371434539124,15.639757508883239,9.034978454080258,0.0015771164016826946,0.00219604879175327
4,0.2,1.7332770511446014,1.5420474303848775,1.9384131701023481,26.964329110099637,21.662065715055213,0.0015771164016826946,0.00219604879175327
