config,R_10pct,AUPRC,ROC_AUC
baseline,3.100441756249172,0.07602704120492637,0.7736629392347665
max_depth=3,2.7726265761784554,0.09589720730181481,0.9519832712460856
max_depth=4,3.0129580963499247,0.07849281341382447,0.8859060020720807
max_depth=8,2.686492615342522,0.08471407927095044,0.8340084678648819
max_depth=10,2.1803462788649677,0.10766218259370725,0.9144285907437053
lr=0.05,3.080808988621402,0.09786760780743356,0.9453234306072242
lr=0.1,3.1584851837842547,0.08806279627727107,0.8880072140268978
n_est=100,2.912037091783608,0.0730104208904139,0.8937296862970668
n_est=800,2.8770217761711923,0.079837201562478,0.7790647295941477
subsample=0.6,2.722752428042744,0.06806179181155228,0.7779913940302811
subsample=0.8,2.7381481156421623,0.0938419606664004,0.854871590644726
colsample=0.6,2.8622305224086526,0.08873117931847764,0.8562721772558337
colsample=0.8,3.0079806477014426,0.0759354493523329,0.7858437109222359
min_child_wt=5,3.1909185779970737,0.0760848821147938,0.8192050820973285
min_child_wt=20,2.922935486128526,0.1006517313689787,0.8856595059436806
reg_lambda=0.1,3.1467986845223535,0.07093205096421518,0.7463196161968044
reg_lambda=10,2.854249741451787,0.10136378290912261,0.8644781858702718
spw=1.0,3.7844371942329085,0.0694568794580239,0.7172264545983129
spw=35.8,3.04154807466041,0.11437017989760337,0.9060049792592988
