detector,budget,R,rand_lo,rand_hi,rand_p,rand_se,fix_lo,fix_hi,fix_p,fix_se,bh_rand,bh_fix
thin,0.01,1.04327996051717,0.7786868463774247,1.3890485766086635,0.7723547117459566,0.14645735733230358,0.8314182881644334,1.225839780976103,0.6809398404501323,0.10304357816201844,False,False
thin,0.05,1.0447734473502446,0.7892077718161935,1.390468739106024,0.7613224753391614,0.14420030813957002,0.8398227233575895,1.2100993865166094,0.6611299694107258,0.09991948084011523,False,False
thin,0.1,1.125297147359424,0.8729689913012659,1.459728578590794,0.3744310235721199,0.13290542576489295,0.9463580841371033,1.2739198919865793,0.14951801105191304,0.08190686941069635,False,False
thin,0.2,1.2675039683921308,1.0215415168960433,1.5832060245047959,0.03458896581898374,0.11217894786827634,1.1898522222573087,1.3386002588558783,5.049032488408885e-15,0.030291228313056685,False,True
rich,0.01,1.2211857578265322,0.811061587854074,1.7675441699571741,0.33650667760367536,0.20791207924958727,0.9168972759818507,1.6531163563460127,0.2560365327045328,0.17592951727030137,False,False
rich,0.05,2.6890773956010983,0.9363110555113103,5.5213133272695805,0.05398353625384478,0.5133441875462247,0.9803562066645727,5.364753076434284,0.04762991195755475,0.4994296694927682,False,False
rich,0.1,2.9984894229358963,1.0075075080879807,6.23388066253443,0.03202019145189646,0.5121396816816726,1.0542636691062857,6.0566486376634,0.027129087293286943,0.49695922549833055,False,False
rich,0.2,2.0739735159445227,1.0999788676968185,3.4483462487278382,0.01823664016538008,0.30899403342533094,1.1832991723435584,3.2891502765613803,0.010464093088621009,0.2849362459186553,False,False
gnn,0.01,0.8044095416755492,0.6055275455971205,1.0648689177995607,0.13623789206785678,0.14607674213716332,0.6485113523758049,0.9373174125914113,0.031803814347809774,0.10137874706965999,False,False
gnn,0.05,2.3354880982522865,0.8399174887883479,4.759145308104878,0.11329012616219838,0.5356362052480634,0.919880487752898,4.580052023033799,0.10560961897932632,0.5241607073600374,False,False
gnn,0.1,2.483790728335002,0.8730525063196324,5.010553863283475,0.07219549831959247,0.5060316748101495,0.9287648535983702,4.840716573580905,0.06457896313957474,0.49226533754270174,False,False
gnn,0.2,1.689688108431074,0.9756532244441488,2.644099213506769,0.050824858053824785,0.2685898051726932,1.0700173918926768,2.5213045526890707,0.03083467280631511,0.242934429128279,False,False
