decile,deg_lo,deg_hi,n,FPR_thin,FPR_rich,FPR_gnn,pct_SoleProp,pct_Corp
1,1,5,83788,28.15319616174154,8.040530863608154,41.96066262471953,26.285386928915834,34.71260801069366
2,6,27,87328,16.559408208134847,11.28847563209967,14.615014657383657,26.776062660315137,34.43454562110663
3,28,41,84896,9.45745382585752,4.2687523558235965,2.596117602713909,30.497314361100642,31.718808895589902
4,42,52,82680,9.283986453797773,3.2123850991775518,1.2324625060474117,33.07087566521529,29.660135462022254
5,53,64,85567,9.420687882010588,2.569915972279033,0.9559760187922914,35.233209064242054,28.029497352951488
6,65,78,89773,9.57080636717053,2.002829358493088,0.7117953059383111,34.601717665667856,28.231205373553298
7,79,96,86715,9.733033500547773,1.6317822752695614,0.5754483076745661,36.20365565357781,26.8615579772819
8,97,124,87765,9.637099071383808,1.5507320685922634,0.5754002164872102,36.699139748191186,26.03657494445394
9,125,221,86584,10.154301025593643,1.4182758939295943,0.6756444608703687,39.28092950198651,25.964381409960268
10,222,169756,86336,2.937361008154188,64.37291512231282,77.18796330615271,54.47090437361008,10.489251297257228
