detector,budget,R,naive_lo,naive_hi,p_naive,clu_lo,clu_hi,p_cluster,se_naive,se_cluster,design_effect,n_boot,bh_naive,bh_cluster
thin,0.01,1.04327996051717,0.912765326679918,1.1924566415945725,0.534352741362255,0.7786868463774247,1.3890485766086635,0.7723547117459566,0.06818674762648232,0.14645735733230358,4.613414062346157,2000,False,False
thin,0.05,1.0447734473502446,0.9215066301444084,1.184529248712034,0.4941004493877329,0.7892077718161935,1.390468739106024,0.7613224753391614,0.064053761259826,0.14420030813957002,5.06807581869821,2000,False,False
thin,0.1,1.125297147359424,0.9934439135127894,1.2746503880402054,0.06337497602091594,0.8729689913012659,1.459728578590794,0.3744310235721199,0.06358408356349288,0.13290542576489295,4.369065843349629,2000,False,False
thin,0.2,1.2675039683921308,1.1195303393487066,1.4350359730531548,0.00018207000205471097,1.0215415168960433,1.5832060245047959,0.03458896581898374,0.06333690299359092,0.11217894786827634,3.1369606968439934,2000,True,False
rich,0.01,1.2211857578265322,1.0695707030812693,1.3942927296177523,0.0031326374195514467,0.811061587854074,1.7675441699571741,0.33650667760367536,0.06763518544694784,0.20791207924958727,9.449614093620326,2000,True,False
rich,0.05,2.6890773956010983,2.3701622242256173,3.050903927850488,3.116272770266009e-53,0.9363110555113103,5.5213133272695805,0.05398353625384478,0.06440803945220905,0.5133441875462247,63.523897844475705,2000,True,False
rich,0.1,2.9984894229358963,2.6461070805142675,3.397798556856236,2.0244085255860294e-66,1.0075075080879807,6.23388066253443,0.03202019145189646,0.06378525636136156,0.5121396816816726,64.46681936397978,2000,True,False
rich,0.2,2.0739735159445227,1.831803322996313,2.3481593743390885,1.109732233599647e-30,1.0999788676968185,3.4483462487278382,0.01823664016538008,0.06334971230908652,0.30899403342533094,23.790901172130663,2000,True,False
gnn,0.01,0.8044095416755492,0.7087183710776835,0.913020936306081,0.0007565172941560776,0.6055275455971205,1.0648689177995607,0.13623789206785678,0.06461749590899352,0.14607674213716332,5.11048244721677,2000,True,False
gnn,0.05,2.3354880982522865,2.061764467790815,2.645551779696056,1.4194655092426107e-40,0.8399174887883479,4.759145308104878,0.11329012616219838,0.06360140356385247,0.5356362052480634,70.92616034516934,2000,True,False
gnn,0.1,2.483790728335002,2.192946951684309,2.8132082161972076,1.684875259907023e-46,0.8730525063196324,5.010553863283475,0.07219549831959247,0.06354062926795566,0.5060316748101495,63.423817862775046,2000,True,False
gnn,0.2,1.689688108431074,1.4925842663823075,1.9128205811075427,1.1435497424068644e-16,0.9756532244441488,2.644099213506769,0.050824858053824785,0.0632831306635862,0.2685898051726932,18.013708746053855,2000,True,False
