currency,n,det,budget,FPR_S,FPR_L,pi_S_over_L,R,nS,nL
4,36233,thin,5%,7.445373617480443,9.700731955897341,0.6283422459893048,1.221478230713749,11132,10810
4,36233,rich,5%,2.841471090729251,4.132307977392754,0.6283422459893048,1.0943451062263203,11132,10810
4,36233,gnn,5%,5.584030213110331,9.617344575187621,0.6283422459893048,0.924051811818855,11132,10810
14,32736,thin,10%,6.866695242177453,11.634844868735083,1.0057402330363263,0.5868151966317893,11672,10062
14,32736,rich,10%,12.978996999571368,2.7744630071599046,1.0057402330363263,4.651321614154436,11672,10062
14,32736,gnn,10%,21.225889412773252,10.431583134447097,1.0057402330363263,2.0231582297944573,11672,10062
14,32736,thin,5%,2.863266180882983,5.976531424025457,1.0057402330363263,0.4763505737208079,11672,10062
14,32736,rich,5%,2.84612087441063,1.3424821002386633,1.0057402330363263,2.107943727559553,11672,10062
14,32736,gnn,5%,8.88984140591513,10.431583134447097,1.0057402330363263,0.8473405025431552,11672,10062
5,32232,thin,10%,10.503135264257986,15.609903381642512,0.6297200189817639,1.0684919233592078,13410,6635
5,32232,rich,10%,15.967452971036131,4.664855072463768,0.6297200189817639,5.435631292643506,13410,6635
5,32232,gnn,10%,17.7739623768289,8.106884057971014,0.6297200189817639,3.4816314340533245,13410,6635
5,32232,thin,5%,7.7784413257688865,12.152777777777777,0.6297200189817639,1.0164113911375376,13410,6635
5,32232,rich,5%,7.128993729471484,2.6721014492753623,0.6297200189817639,4.236700755943917,13410,6635
5,32232,gnn,5%,12.25739026575097,8.106884057971014,0.6297200189817639,2.4010242816949012,13410,6635
8,30940,thin,10%,7.121686151819528,12.097053726169845,1.3356734643532606,0.4407607599789594,12161,8663
8,30940,rich,10%,18.302321752017125,3.731946851530907,1.3356734643532606,3.6717274625408067,12161,8663
8,30940,gnn,10%,19.759591635106208,10.202195262853841,1.3356734643532606,1.4500535322634076,12161,8663
8,30940,thin,5%,3.7543224106701794,6.273830155979203,1.3356734643532606,0.44802114384499425,12161,8663
8,30940,rich,5%,7.39338053680224,2.218370883882149,1.3356734643532606,2.4952186361800193,12161,8663
8,30940,gnn,5%,10.884241725671002,10.167533217793183,1.3356734643532606,0.801460790531683,12161,8663
9,26540,thin,10%,14.618508228253901,9.841429650138435,0.21269892128591267,6.983603546093328,9363,7966
9,26540,rich,10%,4.402650138918572,22.124339290208912,0.21269892128591267,0.9355749343413122,9363,7966
9,26540,gnn,10%,7.490916862577474,28.718852252705762,0.21269892128591267,1.2263166092328641,9363,7966
9,26540,thin,5%,11.530241504594999,7.085325950163604,0.21269892128591267,7.650913330990435,9363,7966
9,26540,rich,5%,2.1265227612737765,10.4580921218223,0.21269892128591267,0.9559876572261558,9363,7966
9,26540,gnn,5%,7.480230818550973,16.826076013088347,0.21269892128591267,2.090099037477796,9363,7966
6,26350,thin,10%,12.736842105263158,11.534413807619448,0.8339021615472129,1.3241925415055247,7618,9529
6,26350,rich,10%,2.9605263157894735,18.659229635866133,0.8339021615472129,0.19026553067317287,7618,9529
6,26350,gnn,10%,3.9605263157894735,24.731635445169438,0.8339021615472129,0.19203702420982352,7618,9529
6,26350,thin,5%,7.9868421052631575,7.556303936013471,0.8339021615472129,1.2675076263157292,7618,9529
6,26350,rich,5%,1.618421052631579,9.071774363291938,0.8339021615472129,0.21393615191376578,7618,9529
6,26350,gnn,5%,3.9342105263157894,17.648916017680488,0.8339021615472129,0.26731569596283605,7618,9529
1,24328,thin,10%,19.59412176347096,7.920792079207921,0.14195804195804196,17.42597910282088,1430,203
1,24328,rich,10%,1.3296011196641007,1.9801980198019802,0.14195804195804196,4.7299086136228095,1430,203
1,24328,gnn,10%,7.207837648705389,15.346534653465346,0.14195804195804196,3.308526908001015,1430,203
1,24328,thin,5%,0.0,0.0,0.14195804195804196,,1430,203
1,24328,rich,5%,0.5598320503848845,0.49504950495049505,0.14195804195804196,7.966161875575258,1430,203
1,24328,gnn,5%,7.137858642407278,15.346534653465346,0.14195804195804196,3.276405287534985,1430,203
