det,strategy,FPR_S,FPR_L,R,recall,alert_rate
thin,baseline (global),8.60440368900917,11.039666041054732,1.0021163250186962,90.63670411985018,10.147755397150563
thin,per-legal-form,9.864289655534828,10.018768358063241,1.265915670827169,90.51186017478152,10.122727820468851
thin,per-degree-decile,9.435350377046166,9.911039666041056,1.2240301431608058,85.39325842696628,10.158647027743532
rich,baseline (global),13.272156388764813,6.145585227703107,2.7767164915129,74.28214731585518,10.103261927494184
rich,per-legal-form,9.998292125384271,10.006985532373314,1.284623447925604,74.90636704119851,10.150072765361834
rich,per-degree-decile,10.069891484274416,9.897573579538282,1.3081253039691247,74.53183520599251,10.170233868799881
gnn,baseline (global),14.923539767203554,8.868259592482557,2.163648684451755,97.00374531835206,12.384015721025946
gnn,per-legal-form,14.923539767203554,9.852125537591421,1.9475795479299631,97.37827715355806,12.726754479472751
gnn,per-degree-decile,18.55080270106939,10.559936709393437,2.258679895893855,93.3832709113608,15.090933528610229
