origin,n,legit,nfp,R,clusA_lo,clusA_hi,clusA_p,clusB_lo,clusB_hi,clusB_p,BH_clusA,BH_clusB
JP,784,646,8,1.3488292047196695,0.7775676936635062,2.539720546425318,0.3170189098998888,0.7672676305131153,2.5312822109843496,0.3123957754307949,False,False
US,729,575,7,1.0838099781830768,0.6873729366091729,2.226979819599763,0.6447288238878732,0.6851935499724513,2.115275930195797,0.6518072289156627,False,False
CN,4285,3339,37,0.8791955472491306,0.5580475635026612,1.4110661165182465,0.55,0.5734008063417513,1.3714225963926607,0.575,False,False
