benchmark,detector,budget,R,R_lo,R_hi,p_boot,bh_significant,bh_threshold
hismall,thin,0.01,1.04327996051717,0.9246971911632424,1.204523136567671,0.5049833887043189,False,0.006644518272425249
hismall,thin,0.05,1.0447734473502446,0.9438158114062162,1.178238674189192,0.49169435215946844,False,0.006644518272425249
hismall,thin,0.1,1.125297147359424,1.013599676020446,1.2666640202158221,0.053156146179401995,False,0.006644518272425249
hismall,thin,0.2,1.2675039683921308,1.1369018349286755,1.4324814186108425,0.006644518272425249,True,0.006644518272425249
hismall,rich,0.01,1.2211857578265322,1.0763533532017777,1.403917639518809,0.006644518272425249,True,0.006644518272425249
hismall,rich,0.05,2.6890773956010983,2.4004375661224846,3.0471476856241444,0.006644518272425249,True,0.006644518272425249
hismall,rich,0.1,2.9984894229358963,2.6819639542991967,3.3941816400484544,0.006644518272425249,True,0.006644518272425249
hismall,rich,0.2,2.0739735159445227,1.8673525664793111,2.337939641943138,0.006644518272425249,True,0.006644518272425249
hismall,gnn,0.01,0.8044095416755492,0.7050765245123296,0.9161771155518601,0.006644518272425249,True,0.006644518272425249
hismall,gnn,0.05,2.3354880982522865,2.0470098466862896,2.6736203813014807,0.006644518272425249,True,0.006644518272425249
hismall,gnn,0.1,2.483790728335002,2.1846741154694413,2.842958614145303,0.006644518272425249,True,0.006644518272425249
hismall,gnn,0.2,1.689688108431074,1.490394673120295,1.9342869464693124,0.006644518272425249,True,0.006644518272425249
samld,thin,0.01,0.9332174861500729,0.7287471298613052,1.2115661967174376,0.5714285714285714,False,0.006644518272425249
samld,thin,0.05,2.3373647577526273,1.8510568533848626,3.0682351479741965,0.006644518272425249,True,0.006644518272425249
samld,thin,0.1,1.775116684825889,1.407734140013728,2.3387497956531558,0.006644518272425249,True,0.006644518272425249
samld,thin,0.2,3.564184839973265,2.836152096389894,4.666983810513017,0.006644518272425249,True,0.006644518272425249
samld,rich,0.01,2.102909931736136,1.6280769766298568,2.7562579285850513,0.006644518272425249,True,0.006644518272425249
samld,rich,0.05,2.0868580933642416,1.6561239780037482,2.7127367831881095,0.006644518272425249,True,0.006644518272425249
samld,rich,0.1,1.9858984813541023,1.5746061348717357,2.5782523906752157,0.006644518272425249,True,0.006644518272425249
samld,rich,0.2,1.7862072256582668,1.4245120860799196,2.328642843567832,0.006644518272425249,True,0.006644518272425249
samld,gnn,0.01,0.9496628889657233,0.715083497344103,1.2756441000071388,0.6910299003322259,False,0.006644518272425249
samld,gnn,0.05,0.8926428313803353,0.7075414836193041,1.1827195837054,0.4119601328903654,False,0.006644518272425249
samld,gnn,0.1,0.9372507165847176,0.7418029612916,1.2349390329727263,0.6245847176079734,False,0.006644518272425249
samld,gnn,0.2,1.2391334327834147,0.9831406560471355,1.6067412953157894,0.07973421926910298,False,0.006644518272425249
