budget,mean,sd,n_seeds,values
0.01,0.8197261365927226,0.023070343657771008,4,0.8044|0.8068|0.8139|0.8538
0.05,2.226299819761236,0.42910165046678617,4,2.3355|2.4471|2.5289|1.5937
0.1,2.46753303267924,0.050716625652349905,4,2.4838|2.4471|2.5289|2.4104
0.2,1.7582437396121675,0.0735606988231518,4,1.6897|1.7478|1.8622|1.7333
