decile,deg_lo,deg_hi,n,FPR_thin,FPR_rich,FPR_gnn,pct_SoleProp,pct_Corp
1,1,5,83788,15.427030123645391,4.789468658996515,41.91531006826753,26.285386928915834,34.71260801069366
2,6,27,87328,11.578187980945401,7.992854525467203,14.56692011725907,26.776062660315137,34.43454562110663
3,28,41,84896,4.7799660761402185,2.6514794572182434,2.576093102148511,30.497314361100642,31.718808895589902
4,42,52,82680,4.270682148040638,1.879535558780842,1.2203676826318335,33.07087566521529,29.660135462022254
5,53,64,85567,4.140614956700597,1.321771243586897,0.9384458961983008,35.233209064242054,28.029497352951488
6,65,78,89773,4.246265580965323,0.921212391253495,0.6984282579394696,34.601717665667856,28.231205373553298
7,79,96,86715,4.235714697572508,0.6400276768725134,0.5662226835034307,36.20365565357781,26.8615579772819
8,97,124,87765,4.0494502364268214,0.5993277502421238,0.5640061527943941,36.699139748191186,26.03657494445394
9,125,221,86584,4.312575071606763,0.5127968215836644,0.6640949829067726,39.28092950198651,25.964381409960268
10,222,169756,86336,0.3104151223128243,30.19250370644922,59.83367309117865,54.47090437361008,10.489251297257228
